LDGS_NM,CTPRVN_NM,GUGUN_NM,LDGS_ADDR,PET_INFO_CN
"하이원 그랜드호텔카지노","강원특별자치도","정선군","강원 정선군 사북읍 하이원길 265","['반려 동물 불가능']"
"하이원 팰리스호텔","강원특별자치도","정선군","강원 정선군 고한읍 고한7길 399","['반려 동물 불가능']"
"한탄리버스파호텔","강원특별자치도","철원군","강원 철원군 동송읍 태봉로 1799-22","['반려 동물 불가능']"
"쏠비치 호텔 양양","강원특별자치도","양양군","강원 양양군 손양면 선사유적로 678","['반려 동물 불가능']"
"베니키아호텔 산과바다 양양","강원특별자치도","양양군","강원 양양군 강현면 동해대로 3393","['반려 동물 불가능']"
"호텔공지천","강원특별자치도","춘천시","강원 춘천시 수변공원길 11","['반려 동물 불가능']"
"주문진리조트","강원특별자치도","강릉시","강원 강릉시 주문진읍 해안로 2070","['반려 동물 불가능']"
"썬크루즈호텔&리조트","강원특별자치도","강릉시","강원 강릉시 강동면 헌화로 950-39","['반려 동물 불가능']"
"망상해오름가족호텔","강원특별자치도","동해시","강원 동해시 동해대로 6188","['반려 동물 불가능']"
"베니키아호텔 산과바다 속초","강원특별자치도","속초시","강원 속초시 동해대로 3707","['반려 동물 불가능']"
"호텔굿모닝","강원특별자치도","속초시","강원 속초시 해오름로 204","['반려 동물 불가능']"
"화양강호텔","강원특별자치도","홍천군","강원 홍천군 홍천읍 소옥개로 142","['반려 동물 불가능']"
"현대엘리엇호텔앤드리조트","강원특별자치도","평창군","강원 평창군 대관령면 경강로 4887-5","['반려 동물 불가능']"
"골든메이플관광호텔","강원특별자치도","정선군","강원 정선군 남면 무릉1로 85","['반려 동물 불가능']"
"엘스호텔","강원특별자치도","정선군","강원 정선군 사북읍 사북1길 21","['반려 동물 불가능']"
"레이크오션 가족호텔","강원특별자치도","고성군","강원 고성군 토성면 잼버리동로 583-20","['반려 동물 불가능']"
"에스파스호스텔","강원특별자치도","춘천시","강원 춘천시 닥나무길 12","['반려 동물 불가능']"
"이스트하우스 호스텔","강원특별자치도","동해시","강원 동해시 동해대로 6267","['반려 동물 불가능']"
"브루클린호텔","강원특별자치도","속초시","강원 속초시 청초호반로 107","['반려 동물 불가능']"
"제주KAL호텔","제주특별자치도","제주시","제주특별자치도 제주시 중앙로 151","['반려 동물 불가능']"
"메종글래드제주","제주특별자치도","제주시","제주특별자치도 제주시 노연로 80","['반려동물 동반 가능', '반려동물 동반 가능(유료)', '애견동반']"
"제주로얄호텔","제주특별자치도","제주시","제주특별자치도 제주시 신대로12길 45","['반려 동물 불가능']"
"제주마리나관광호텔","제주특별자치도","제주시","제주특별자치도 제주시 신대로 45","['반려 동물 불가능']"
"제주팔레스호텔","제주특별자치도","제주시","제주특별자치도 제주시 탑동로 9","['반려 동물 불가능']"
"펄호텔 제주(구 제주펄관광호텔)","제주특별자치도","제주시","제주 제주시 신대로20길 49","['반려 동물 불가능']"
